alignment,beat_of_occurrence,crash_date,crash_day_of_week,crash_hour,crash_month,crash_record_id,crash_type,damage,date_police_notified,device_condition,first_crash_type,hit_and_run_i,injuries_fatal,injuries_incapacitating,injuries_no_indication,injuries_non_incapacitating,injuries_reported_not_evident,injuries_total,injuries_unknown,latitude,lighting_condition,longitude,most_severe_injury,num_units,posted_speed_limit,prim_contributory_cause,report_type,road_defect,roadway_surface_cond,sec_contributory_cause,street_direction,street_name,street_no,traffic_control_device,trafficway_type,weather_condition,intersection_related_i,crash_date_est_i,private_property_i,statements_taken_i,photos_taken_i,work_zone_i,veh_count,ppl_count,location_json,veh_first_contact_point_list_json,veh_maneuver_list_json,veh_towed_i_list_json,veh_travel_direction_list_json,veh_unit_type_list_json,veh_vehicle_defect_list_json,veh_vehicle_use_list_json,veh_vehicle_year_list_json,ppl_age_list_json,ppl_airbag_deployed_list_json,ppl_ejection_list_json,ppl_injury_classification_list_json,ppl_person_type_list_json,ppl_safety_equipment_list_json,ppl_sex_list_json,ppl_seat_no_list_json
STRAIGHT AND LEVEL,623,2025-09-20T22:06:00.000,7,22,9,0fd9e5bc70d08b1a869731264c4cfeaba42f6be2c606e0fc2d789249e27aa24b605d4895f9ed17a2389dc022abddd38cf80823258f12cf01387bea22b1e26c84,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T22:06:00.000,FUNCTIONING PROPERLY,ANGLE,Y,0,0,1,3,0,3,0,41.756231795,"DARKNESS, LIGHTED ROAD",-87.6324323658,NONINCAPACITATING INJURY,2,30,DISREGARDING TRAFFIC SIGNALS,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,S,VINCENNES AVE,7602,TRAFFIC SIGNAL,FOUR WAY,CLEAR,Y,,,,,,2,4,"{""coordinates"": [-87.632432365792, 41.756231795022], ""type"": ""Point""}","[""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""Y""]","[""S"", ""W""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2004"", ""2020""]","[""20"", ""27"", ""46""]","[""DEPLOYED, FRONT"", ""DEPLOYMENT UNKNOWN"", ""DID NOT DEPLOY""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,2521,2025-09-20T22:10:00.000,7,22,9,b4723923274a60fb41b354ba8066fd263a79995f0666dfc3325f50e2e20bab98b17cada29c013c1b4584de1c00596d37e989289edd77141c8d5e4ccc93069f15,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T22:10:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,Y,0,0,1,0,0,0,0,41.9251704423,"DARKNESS, LIGHTED ROAD",-87.7560602484,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,WET,NOT APPLICABLE,W,MONTANA ST,5198,NO CONTROLS,ONE-WAY,RAIN,,,,,,,2,1,"{""coordinates"": [-87.756060248415, 41.925170442327], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""PARKED"", ""UNKNOWN/NA""]","[""Y""]","[""E""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""UNKNOWN/NA""]","[""2014"", ""2016""]",[],"[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""X""]",[]
STRAIGHT AND LEVEL,1914,2025-09-20T22:30:00.000,7,22,9,710adab4003bde08c708a9d1ea060c0f67e789119c1f8afdb7429277af4e7d963a68ad6df0638ac119b70d86f0d7bc352adc4a91d1e66d5be33ff0ac175468c2,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T22:31:00.000,FUNCTIONING PROPERLY,REAR END,Y,0,0,1,0,1,1,0,41.9689820543,"DARKNESS, LIGHTED ROAD",-87.6547033367,"REPORTED, NOT EVIDENT",2,30,UNABLE TO DETERMINE,,NO DEFECTS,DRY,NOT APPLICABLE,W,LAWRENCE AVE,997,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,,,Y,,,,2,2,"{""coordinates"": [-87.65470333669, 41.96898205433], ""type"": ""Point""}","[""FRONT"", ""REAR-LEFT-CORNER""]","[""STRAIGHT AHEAD""]",[],"[""W""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2004"", ""2007""]","[""38""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""REPORTED, NOT EVIDENT""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,621,2025-09-20T22:30:00.000,7,22,9,adc050a20867d3234c3fecbb3f7a61e9f3e1ef42c6171a6cb27b6e0fce34d4acbb25e323b1b263b1b6c92a468799964cd4193c0d00b255058089a335c89d21a9,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-21T18:10:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,2,0,0,0,0,41.7525468687,DAYLIGHT,-87.6439437732,NO INDICATION OF INJURY,2,35,IMPROPER TURNING/NO SIGNAL,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,UNABLE TO DETERMINE,S,HALSTED ST,7759,TRAFFIC SIGNAL,FOUR WAY,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.643943773195, 41.752546868729], ""type"": ""Point""}","[""FRONT-LEFT-CORNER"", ""SIDE-RIGHT-FRONT""]","[""TURNING LEFT"", ""TURNING RIGHT""]",[],"[""NE"", ""SE""]","[""DRIVER""]","[""NONE""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2011"", ""2013""]",[],"[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,632,2025-09-20T22:30:00.000,7,22,9,b2cf07e20df5396d91ae338eab79eaf61214b91411b044dd78ee1ac0e3f625eb97d423b63d5bdfbabee79890af7a5cfadd86bdbce33292d302e4218cf0946133,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-21T09:25:00.000,NO CONTROLS,ANGLE,,0,0,2,0,0,0,0,41.7383914836,DARKNESS,-87.6177307399,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,FAILING TO YIELD RIGHT-OF-WAY,E,86TH ST,300,STOP SIGN/FLASHER,FOUR WAY,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.617730739943, 41.738391483629], ""type"": ""Point""}","[""FRONT"", ""SIDE-LEFT-REAR""]","[""STRAIGHT AHEAD""]",[],"[""N"", ""W""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2008"", ""2017""]","[""21"", ""55""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,1622,2025-09-20T22:35:00.000,7,22,9,0977b25029af8e7732b4937f05d718c5e265299d5ccde024cd4578bda2a28318007e29d1a6c45a578b830d6608effbb56ba4967ad34ebb4a22c00218bf38d478,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-20T22:50:00.000,NO CONTROLS,REAR TO FRONT,Y,0,0,4,0,0,0,0,41.9767014663,"DARKNESS, LIGHTED ROAD",-87.7684264173,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,,NO DEFECTS,DRY,UNABLE TO DETERMINE,N,MILWAUKEE AVE,5301,NO CONTROLS,UNKNOWN,CLEAR,,Y,,,,,2,4,"{""coordinates"": [-87.768426417312, 41.976701466264], ""type"": ""Point""}","[""FRONT"", ""REAR""]","[""ENTERING TRAFFIC LANE FROM PARKING"", ""OTHER""]",[],"[""UNKNOWN""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2019""]","[""23""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,1623,2025-09-20T22:40:00.000,7,22,9,707aaa31effdbb9a2111dde877c8eca0e1ad8a41099646c3b0f219d3adc2fec6069580e61666b9742b19d6b0428cec79eb22f6c49cea5d3745b58c92eb177853,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T22:45:00.000,FUNCTIONING PROPERLY,ANGLE,Y,0,0,2,1,0,1,0,41.9814353382,"DARKNESS, LIGHTED ROAD",-87.7682250463,NONINCAPACITATING INJURY,3,30,DISREGARDING STOP SIGN,,NO DEFECTS,DRY,FAILING TO REDUCE SPEED TO AVOID CRASH,N,CENTRAL AVE,5509,STOP SIGN/FLASHER,NOT DIVIDED,CLEAR,Y,,,Y,,,3,3,"{""coordinates"": [-87.768225046273, 41.981435338155], ""type"": ""Point""}","[""FRONT"", ""FRONT-LEFT-CORNER"", ""REAR-RIGHT-CORNER""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""Y""]","[""E"", ""N"", ""UNKNOWN""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""CTA"", ""NOT IN USE"", ""PERSONAL""]","[""2010"", ""2016"", ""2019""]","[""46""]","[""DEPLOYED, COMBINATION"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER"", ""PASSENGER""]","[""USAGE UNKNOWN""]","[""F"", ""M""]","[""3""]"
STRAIGHT AND LEVEL,512,2025-09-20T22:40:00.000,7,22,9,d9d2eab9c24314e95e1fc1abad2ec0a36b0b434067fda539959dcf8ef74b3bbb7ace02cd4b17db3a40d8618f11ac59000e0a0444ca65b77d6fb8d885d36a5368,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T23:01:00.000,FUNCTIONING PROPERLY,TRAIN,,0,0,1,1,0,1,0,41.7069341548,DARKNESS,-87.6330238153,NONINCAPACITATING INJURY,2,25,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,UNABLE TO DETERMINE,W,103RD ST,359,RAILROAD CROSSING GATE,OTHER,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.633023815324, 41.706934154806], ""type"": ""Point""}","[""FRONT"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]","[""Y""]","[""N"", ""W""]","[""DRIVER""]","[""NONE""]","[""OTHER"", ""PERSONAL""]","[""2019""]","[""33""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,1831,2025-09-20T22:45:00.000,7,22,9,aaab1b40daf1c7987dec4b70e41b2d60ccfbac14fda3455190dd07bab57045d6576ae84482158deac99660aa086a3348b09d62f0cd3ba383ad9d50a0e2466f35,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-20T23:15:00.000,FUNCTIONING PROPERLY,SIDESWIPE SAME DIRECTION,,0,0,2,0,0,0,0,41.8924152017,"DARKNESS, LIGHTED ROAD",-87.6369089289,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,UNABLE TO DETERMINE,N,ORLEANS ST,601,TRAFFIC SIGNAL,FOUR WAY,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.636908928924, 41.892415201721], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""OTHER"", ""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]",[],[],"[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""F"", ""M""]",[]
STRAIGHT AND LEVEL,1432,2025-09-20T22:59:00.000,7,22,9,e4a4e472843bb826b3dbbfcb1f6dc5538c177ccd22ecb53244ff43ca0eaebb16d1725baa7aa0ceb7dbb1279795a74e2c61b20aca992e9758cb6e1e59424ee866,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T22:59:00.000,NO CONTROLS,PEDALCYCLIST,,0,0,1,1,0,1,0,41.9176779054,"DARKNESS, LIGHTED ROAD",-87.6873125753,NONINCAPACITATING INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,ARMITAGE AVE,2354,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.687312575332, 41.917677905409], ""type"": ""Point""}","[""FRONT""]","[""TURNING LEFT""]",[],"[""E""]","[""BICYCLE"", ""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]","[""2002""]","[""35"", ""61""]","[""DID NOT DEPLOY""]","[""NONE"", ""TOTALLY EJECTED""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""BICYCLE"", ""DRIVER""]","[""HELMET NOT USED"", ""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,1924,2025-09-20T23:00:00.000,7,23,9,75704dc60da28a0bd1fff38de0475960b49aaddb5b2406d6750f219a7bf2bbaff995cee934aa6eacb8589507ed81acc1cc79028cb6e73d2c9e4db21960488328,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-21T10:20:00.000,UNKNOWN,TURNING,,0,0,4,0,0,0,0,41.9445744161,"DARKNESS, LIGHTED ROAD",-87.6592523666,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,NOT ON SCENE (DESK REPORT),UNKNOWN,UNKNOWN,UNABLE TO DETERMINE,N,RACINE AVE,3436,STOP SIGN/FLASHER,DIVIDED - W/MEDIAN (NOT RAISED),CLEAR,,,,,,,2,4,"{""coordinates"": [-87.659252366557, 41.944574416105], ""type"": ""Point""}","[""FRONT-LEFT-CORNER"", ""FRONT-RIGHT-CORNER""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]",[],"[""N"", ""SE""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL""]","[""2007"", ""2023""]","[""20"", ""26""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""SAFETY BELT USED""]","[""F"", ""M""]","[""3"", ""6""]"
STRAIGHT AND LEVEL,1831,2025-09-20T23:05:00.000,7,23,9,9bac2f30a67f8ba729556a6ee9c819f6280998c67d52bd39851a5783806d5eacb07cecde66aed34a7137e2812562a233649a43c19b6b987583a8d016750ea432,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-22T17:28:00.000,FUNCTIONING PROPERLY,SIDESWIPE SAME DIRECTION,,0,0,2,0,0,0,0,41.8891449353,DARKNESS,-87.6294365779,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,NOT APPLICABLE,N,DEARBORN ST,359,TRAFFIC SIGNAL,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.629436577918, 41.889144935303], ""type"": ""Point""}","[""SIDE-LEFT"", ""UNKNOWN""]","[""STRAIGHT AHEAD""]",[],"[""N"", ""UNKNOWN""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL""]","[""2020"", ""2022""]","[""27""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,712,2025-09-20T23:10:00.000,7,23,9,43315b05f9ea1ef0557af21fe3c1a71979c1d5130d16fdaa0b00d990e4e8496d989dab3ce1263f3d70808474a8890d9d7618985739cfe361e1d4982a1d30bc53,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-20T23:11:00.000,NO CONTROLS,TURNING,,0,0,2,0,0,0,0,41.7889553446,"DARKNESS, LIGHTED ROAD",-87.6450801856,NO INDICATION OF INJURY,2,30,FOLLOWING TOO CLOSELY,ON SCENE,NO DEFECTS,DRY,IMPROPER TURNING/NO SIGNAL,W,58TH ST,800,NO CONTROLS,FOUR WAY,CLEAR,Y,,,,,,2,2,"{""coordinates"": [-87.645080185609, 41.788955344574], ""type"": ""Point""}","[""FRONT"", ""SIDE-RIGHT-FRONT""]","[""STRAIGHT AHEAD"", ""TURNING RIGHT""]",[],"[""S""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2013""]","[""38"", ""40""]","[""DID NOT DEPLOY"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,1133,2025-09-20T23:10:00.000,7,23,9,45518d04e9b848c5a2e50da5a5249381722ca8b60b7ba255e8d18b2dd2521ec742a0fc042fc4c12f5da429f06039e1f7678163c064deb1d5d0461d7238f09779,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-20T23:18:00.000,FUNCTIONING PROPERLY,TURNING,Y,0,0,2,0,0,0,0,41.8736241188,"DARKNESS, LIGHTED ROAD",-87.7204065573,NO INDICATION OF INJURY,2,30,IMPROPER LANE USAGE,ON SCENE,NO DEFECTS,WET,FAILING TO YIELD RIGHT-OF-WAY,W,HARRISON ST,3800,TRAFFIC SIGNAL,FOUR WAY,RAIN,Y,,,,,,2,2,"{""coordinates"": [-87.720406557306, 41.873624118782], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""STRAIGHT AHEAD"", ""TURNING LEFT""]",[],"[""E"", ""S""]","[""DRIVER""]","[""NONE"", ""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2023""]","[""22""]","[""DEPLOYMENT UNKNOWN"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED"", ""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,1021,2025-09-20T23:10:00.000,7,23,9,548a9fac695256991ba531ea679389c85268b3bc00b7c1aedb2e8ee5b93bfd127b4c763767039fe3c1a4fb6de8bbe26399c3b9d73fc582d972fbfcef542f74bc,INJURY AND / OR TOW DUE TO CRASH,"$501 - $1,500",2025-09-20T23:14:00.000,NO CONTROLS,PEDESTRIAN,Y,0,0,1,1,0,1,0,41.8620738764,"DARKNESS, LIGHTED ROAD",-87.7105679707,NONINCAPACITATING INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,WET,NOT APPLICABLE,S,HOMAN AVE,1410,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,2,"{""coordinates"": [-87.71056797073, 41.862073876405], ""type"": ""Point""}","[""FRONT-LEFT-CORNER""]","[""STRAIGHT AHEAD""]",[],"[""S""]","[""DRIVER"", ""PEDESTRIAN""]","[""UNKNOWN""]","[""UNKNOWN/NA""]",[],"[""30""]","[""DEPLOYMENT UNKNOWN""]","[""NONE""]","[""NO INDICATION OF INJURY"", ""NONINCAPACITATING INJURY""]","[""DRIVER"", ""PEDESTRIAN""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""M"", ""X""]",[]
STRAIGHT AND LEVEL,312,2025-09-20T23:14:00.000,7,23,9,867378ed649520fb99080c251bef88373bbaf6a3936b4fe514afbb7f46898285635784313ee7b10932d74623b592cb4ed7e18d60d5bc0b6ed2dd2e50afdffbab,NO INJURY / DRIVE AWAY,"OVER $1,500",2025-09-20T23:30:00.000,UNKNOWN,SIDESWIPE SAME DIRECTION,Y,0,0,2,0,0,0,0,41.7801482643,"DARKNESS, LIGHTED ROAD",-87.6145521353,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,NOT ON SCENE (DESK REPORT),UNKNOWN,OTHER,NOT APPLICABLE,E,63RD ST,425,UNKNOWN,FOUR WAY,CLOUDY/OVERCAST,,,,,,,2,2,"{""coordinates"": [-87.614552135332, 41.780148264311], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""STRAIGHT AHEAD""]",[],"[""E""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2016""]","[""21""]","[""DEPLOYMENT UNKNOWN""]","[""NONE"", ""UNKNOWN""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,835,2025-09-20T23:19:00.000,7,23,9,7ae5db02a528aaba3ea535af48556a23541bf8e9832328bb3b8089588046dadb3f2e535448454a881c04fc035f3438c51404bb39391a977f57c95202844188b4,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T23:41:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,Y,0,0,4,0,0,0,0,41.7376470434,"DARKNESS, LIGHTED ROAD",-87.6917275799,NO INDICATION OF INJURY,2,10,FOLLOWING TOO CLOSELY,ON SCENE,NO DEFECTS,DRY,NOT APPLICABLE,W,SEIPP ST,2751,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,2,4,"{""coordinates"": [-87.691727579935, 41.737647043381], ""type"": ""Point""}","[""FRONT"", ""FRONT-LEFT-CORNER""]","[""PARKED"", ""STRAIGHT AHEAD""]","[""Y""]","[""E"", ""W""]","[""DRIVER"", ""PARKED""]","[""NONE""]","[""PERSONAL""]","[""2013"", ""2018""]",[],"[""DEPLOYED, FRONT"", ""DID NOT DEPLOY"", ""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""USAGE UNKNOWN""]","[""M"", ""X""]","[""4"", ""5"", ""6""]"
STRAIGHT AND LEVEL,432,2025-09-20T23:26:00.000,7,23,9,8e109f5e0dc6f1c3543bf52e8b5e456aa5e71687d14d6118d5b9385f20222964eb671d1e264b56e8e0d0cead4f5ae08961803638a5e2671c854df20520b080e6,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T23:50:00.000,NO CONTROLS,FIXED OBJECT,Y,0,0,1,0,0,0,0,41.7223164717,"DARKNESS, LIGHTED ROAD",-87.5332347334,NO INDICATION OF INJURY,1,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,WET,UNABLE TO DETERMINE,E,FOREMAN DR,3730,NO CONTROLS,NOT DIVIDED,CLEAR,,,,,,,1,1,"{""coordinates"": [-87.533234733448, 41.722316471668], ""type"": ""Point""}","[""FRONT""]","[""STRAIGHT AHEAD""]","[""Y""]","[""S""]","[""DRIVER""]","[""UNKNOWN""]","[""UNKNOWN/NA""]","[""2019""]",[],"[""DEPLOYED, FRONT""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""X""]",[]
STRAIGHT AND LEVEL,2424,2025-09-20T23:38:00.000,7,23,9,5e580a99000c64f081101921a414cfe6d5b90ff22fa0aa037f7206d92d0da9960ba7a40e8ae8751c4846f9ebeb6ee28f746ff9516da13b4498f0cb48b34d8ab2,INJURY AND / OR TOW DUE TO CRASH,"OVER $1,500",2025-09-20T23:41:00.000,NO CONTROLS,PARKED MOTOR VEHICLE,,0,0,1,0,0,0,0,42.0090857552,"DARKNESS, LIGHTED ROAD",-87.6745259231,NO INDICATION OF INJURY,2,30,UNABLE TO DETERMINE,ON SCENE,NO DEFECTS,WET,UNABLE TO DETERMINE,W,LUNT AVE,1758,NO CONTROLS,NOT DIVIDED,RAIN,,,,,,,2,1,"{""coordinates"": [-87.67452592311, 42.009085755178], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""SIDE-LEFT""]","[""PARKED"", ""UNKNOWN/NA""]","[""Y""]","[""W""]","[""DRIVER"", ""PARKED""]","[""UNKNOWN""]","[""PERSONAL"", ""UNKNOWN/NA""]","[""2009"", ""2010""]","[""33""]","[""DID NOT DEPLOY""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""USAGE UNKNOWN""]","[""M""]",[]
STRAIGHT AND LEVEL,1831,2025-09-21T00:01:00.000,1,0,9,5e542c023e9780c4d0607cab33e0c03f675aca6f46dbbfdc0ddbbf6d4b998c9de518923245378a1186e22709c698fb21b26dbae83e5f8b4b03d265a7db6f19d3,NO INJURY / DRIVE AWAY,"$501 - $1,500",2025-09-21T01:00:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,2,0,0,0,0,41.8922797337,"DARKNESS, LIGHTED ROAD",-87.6340120037,NO INDICATION OF INJURY,2,30,IMPROPER TURNING/NO SIGNAL,NOT ON SCENE (DESK REPORT),NO DEFECTS,DRY,IMPROPER TURNING/NO SIGNAL,W,OHIO ST,199,TRAFFIC SIGNAL,ONE-WAY,CLEAR,Y,,,,,,2,1,"{""coordinates"": [-87.634012003657, 41.892279733667], ""type"": ""Point""}","[""FRONT"", ""SIDE-RIGHT""]","[""STRAIGHT AHEAD"", ""TURNING RIGHT""]",[],"[""E""]","[""DRIVER""]","[""UNKNOWN""]","[""PERSONAL"", ""RIDESHARE SERVICE""]",[],[],"[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER""]","[""SAFETY BELT USED""]","[""M""]",[]
STRAIGHT AND LEVEL,1214,2025-09-21T00:07:00.000,1,0,9,ed45583e98bd0eaad0d90e95bc5c515987d7653abff4158e7b061eb774461408a97773532620e3519d97c11282f690fe44f9154d40bcd9fe9f807759778b0b8b,NO INJURY / DRIVE AWAY,$500 OR LESS,2025-09-21T00:08:00.000,FUNCTIONING PROPERLY,TURNING,,0,0,6,0,0,0,0,41.8856927032,"DARKNESS, LIGHTED ROAD",-87.6522023153,NO INDICATION OF INJURY,2,30,FAILING TO YIELD RIGHT-OF-WAY,ON SCENE,NO DEFECTS,WET,DRIVING ON WRONG SIDE/WRONG WAY,W,LAKE ST,1000,TRAFFIC SIGNAL,FOUR WAY,RAIN,Y,,,,,,2,6,"{""coordinates"": [-87.652202315319, 41.885692703217], ""type"": ""Point""}","[""FRONT-RIGHT-CORNER"", ""REAR""]","[""BACKING"", ""TURNING RIGHT""]",[],"[""N"", ""S""]","[""DRIVER""]","[""NONE""]","[""PERSONAL""]","[""2012"", ""2022""]","[""43"", ""44"", ""45"", ""47""]","[""NOT APPLICABLE""]","[""NONE""]","[""NO INDICATION OF INJURY""]","[""DRIVER"", ""PASSENGER""]","[""NONE PRESENT"", ""USAGE UNKNOWN""]","[""F"", ""M""]","[""3"", ""4"", ""6""]"
